                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1683,                 3.9218,                 4.0503,                0.00086,                0.20383,                 0.0006,                0.00011,                 3.8395,                 4.4992,                 4.1265,             0.00064815,             0.00064815,             0.00064815
                      2,                 2.3731,                 2.8104,                 3.1983,                0.00073,                0.14111,                0.00044,                  8e-05,                 3.9472,                 4.4753,                 4.2761,              0.0012888,              0.0012888,              0.0012888
                      3,                 2.1512,                 2.0787,                  2.814,                0.00012,                0.00871,                  8e-05,                  1e-05,                 3.9436,                 4.2511,                 4.2967,               0.001903,               0.001903,               0.001903
                      4,                 2.0588,                  1.814,                 2.6623,                0.72967,                0.57368,                0.65383,                0.15799,                 2.6787,                 2.4793,                 2.9717,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.9442,                 1.5213,                 2.5131,                  0.948,                0.94948,                0.98709,                 0.5043,                 1.6351,                 2.2105,                 2.2389,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.8136,                 1.3561,                 2.4058,                0.87458,                0.71603,                0.86321,                0.36034,                 1.8638,                 2.0599,                 2.4534,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.7696,                 1.2876,                 2.3538,                 0.9802,                0.94884,                0.98525,                0.43956,                  1.809,                 1.4607,                  2.397,               0.001802,               0.001802,               0.001802
                      8,                 1.7097,                 1.1755,                 2.2744,                0.97955,                0.98606,                0.99224,                0.53102,                 1.5107,                 1.1073,                 2.0652,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.7153,                 1.1524,                 2.2535,                0.98601,                0.99477,                0.99439,                0.53487,                 1.5489,                0.96146,                 2.2729,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.6498,                 1.0681,                 2.2204,                 0.9942,                0.98258,                0.99323,                0.52569,                 1.6048,                0.94761,                 2.1801,              0.0016832,              0.0016832,              0.0016832
                     11,                  1.617,                 1.0141,                   2.19,                0.98614,                0.99195,                0.99441,                0.57829,                 1.4263,                0.81399,                 2.0187,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.5484,                0.95517,                 2.1118,                0.97736,                0.99652,                0.99299,                0.57627,                 1.3852,                 1.1288,                 2.0655,               0.001604,               0.001604,               0.001604
                     13,                 1.5501,                0.92021,                 2.1193,                0.99472,                0.98546,                0.99474,                 0.5823,                  1.432,                0.73498,                  1.981,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.5293,                0.91432,                   2.09,                0.99476,                0.99269,                0.99498,                0.61232,                 1.3729,                0.74335,                 1.9079,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.5328,                0.88221,                 2.0757,                0.99629,                0.99826,                0.99477,                0.59676,                  1.409,                0.71699,                 2.0039,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.4823,                0.83909,                 2.0501,                0.98425,                0.97953,                0.99346,                0.58039,                 1.5413,                0.78502,                 2.0752,              0.0014456,              0.0014456,              0.0014456
                     17,                  1.531,                0.87228,                 2.1118,                0.99615,                      1,                  0.995,                0.61772,                 1.3625,                0.70023,                 1.9093,               0.001406,               0.001406,               0.001406
                     18,                 1.5002,                0.83114,                 2.0618,                0.99711,                0.99826,                  0.995,                0.62636,                 1.3809,                0.76346,                 1.9542,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.4508,                0.81273,                 2.0037,                0.99449,                0.91638,                0.97496,                 0.5363,                  1.547,                 1.0296,                 2.1129,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.4605,                0.80055,                 2.0244,                 0.9965,                0.99129,                0.99495,                0.62001,                 1.3414,                0.68475,                 1.9266,              0.0012872,              0.0012872,              0.0012872
                     21,                   1.46,                0.79668,                 2.0435,                0.89563,                0.97038,                0.97069,                0.57066,                 1.5054,                0.78444,                 2.0421,              0.0012476,              0.0012476,              0.0012476
                     22,                  1.431,                0.76543,                 2.0095,                0.99999,                      1,                  0.995,                0.61619,                 1.3835,                0.58673,                  1.895,               0.001208,               0.001208,               0.001208
                     23,                  1.449,                0.75408,                 2.0248,                0.99479,                0.99872,                0.99498,                0.62852,                 1.2902,                  0.621,                 1.8517,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.4235,                0.73931,                  1.982,                0.99979,                      1,                  0.995,                0.63645,                 1.2792,                0.57085,                 1.8479,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.4066,                0.72934,                 1.9957,                0.99974,                      1,                  0.995,                0.64902,                 1.2504,                0.57992,                 1.8341,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.4458,                0.73344,                 1.9974,                0.99948,                      1,                  0.995,                0.63195,                 1.2792,                0.58727,                  1.859,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.3857,                0.72685,                 1.9504,                      1,                0.99974,                  0.995,                0.57483,                 1.4653,                0.60181,                 1.9179,                0.00101,                0.00101,                0.00101
                     28,                  1.412,                0.71901,                 1.9677,                0.99957,                      1,                  0.995,                0.63946,                 1.2843,                0.58147,                 1.8303,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.3927,                0.70236,                 1.9357,                0.99788,                      1,                  0.995,                0.62986,                 1.3214,                0.54931,                 1.8994,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.3943,                0.68958,                 1.9422,                0.99968,                      1,                  0.995,                 0.6473,                 1.2627,                0.56726,                 1.8026,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.4175,                 0.7031,                 1.9579,                0.99985,                      1,                  0.995,                0.64497,                 1.2749,                  0.551,                 1.8284,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.3618,                0.66703,                  1.941,                0.99973,                      1,                  0.995,                0.66535,                 1.2325,                0.52662,                 1.7705,               0.000812,               0.000812,               0.000812
                     33,                 1.3679,                0.67238,                  1.924,                0.99975,                      1,                  0.995,                0.65814,                 1.2457,                0.54983,                 1.8009,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.3501,                0.66631,                 1.9134,                0.99953,                      1,                  0.995,                0.65738,                 1.2584,                0.51985,                 1.7857,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.3222,                0.66241,                 1.8843,                0.99975,                      1,                  0.995,                0.65192,                 1.2689,                0.51286,                 1.7528,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.3254,                0.64042,                 1.9028,                0.99479,                0.99784,                0.99495,                0.65955,                 1.2691,                0.53672,                 1.7888,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.3663,                0.66621,                 1.9111,                0.99974,                      1,                  0.995,                0.63395,                 1.3079,                0.54064,                 1.7967,               0.000614,               0.000614,               0.000614
                     38,                 1.3372,                0.65366,                 1.8885,                0.99962,                      1,                  0.995,                 0.6621,                 1.2381,                0.50004,                 1.7369,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.3549,                0.64306,                 1.8882,                0.99987,                      1,                  0.995,                0.61738,                 1.3865,                 0.5101,                 1.8252,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.3466,                0.64925,                 1.9036,                0.99953,                      1,                  0.995,                0.67826,                 1.2066,                0.48613,                  1.697,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.2219,                0.51726,                  1.816,                0.99952,                      1,                  0.995,                0.67004,                 1.1895,                0.50497,                 1.7072,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.2336,                0.49373,                  1.827,                0.99981,                      1,                  0.995,                0.67177,                 1.2066,                0.47954,                 1.7171,               0.000416,               0.000416,               0.000416
                     43,                  1.254,                0.51163,                 1.8489,                0.99982,                      1,                  0.995,                0.66132,                 1.2407,                0.51986,                  1.791,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.2388,                0.49485,                  1.823,                0.99978,                      1,                  0.995,                0.66919,                 1.2164,                0.46862,                 1.6961,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.2174,                0.49842,                 1.8198,                0.99961,                      1,                  0.995,                0.66542,                 1.2023,                0.48493,                 1.7298,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.2174,                0.49265,                  1.823,                 0.9995,                      1,                  0.995,                0.67287,                 1.1848,                0.47986,                 1.6903,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.2193,                0.48876,                 1.7989,                0.99978,                      1,                  0.995,                0.67194,                 1.2086,                0.47452,                 1.7008,               0.000218,               0.000218,               0.000218
                     48,                 1.2093,                0.48403,                 1.7887,                0.99974,                      1,                  0.995,                0.67594,                 1.1952,                 0.4649,                 1.7252,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.1849,                0.47657,                 1.7907,                0.99987,                      1,                  0.995,                0.68774,                 1.1597,                0.46211,                 1.6745,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.1768,                0.47468,                 1.7788,                0.99982,                      1,                  0.995,                0.68817,                 1.1604,                0.45991,                 1.6886,               9.92e-05,               9.92e-05,               9.92e-05
